month,year,Title
jan,2014,"Front End UI Developer, IT Department"
jan,2014,Senior .Net Developer
jan,2014,Lead Web Developer
jan,2014,Branch Set-Up Unit Senior Specialist
jan,2014,Network Administrator
jan,2014,Assistant in Accounting Department
jan,2014,Receptionist/ Administrative Assistant
jan,2014,C Software Developer
jan,2014,Layout Engineer
jan,2014,Lawyer
jan,2014,Senior Java Software Developer
jan,2014,Customs Specialist
jan,2014,National Expert/ Project Coordinator for Integrated Erosion
jan,2014,Internal Auditor
jan,2014,Deputy Chief  Accountant
jan,2014,Salesperson/ Cashier
jan,2014,IT Manager
jan,2014,C Software Developer
jan,2014,Sales Manager
jan,2014,Computer Operator
jan,2014,Construction Superintendent
jan,2014,Head of Sales Department
jan,2014,Technical and Functional Specifications Reviewing Expert
jan,2014,Java Software Developer
jan,2014,Secretary to CEO
jan,2014,Advertising Specialist
jan,2014,Media (Digital) Content Manager
jan,2014,Marketing Expert on Mass Market Segment and Affluent Customers
jan,2014,Project Coordinator
jan,2014,Journalist
jan,2014,Web Developer
jan,2014,Financial Manager
jan,2014,Medical Representative
jan,2014,Finance Controller
jan,2014,HR Manager
jan,2014,Apprentice (Intern) Web Developer
jan,2014,PR Manager
jan,2014,Information Data Specialist
jan,2014,Statistical Programmer
jan,2014,Responsible for Technicians
jan,2014,iOS Developer
jan,2014,Orchard Manager
jan,2014,Software Developer
jan,2014,Child Health Now Campaign Assistant
jan,2014,WPF Developers
jan,2014,Financial Controller
jan,2014,International Sales Manager
jan,2014,Private Sector Development Specialist
jan,2014,Strategic Communications Specialist
jan,2014,Production Operator
jan,2014,Graphic Designer
jan,2014,Web Developer
jan,2014,Senior iOS Developer
jan,2014,Chief Cook
jan,2014,Medical Representative
jan,2014,Business Development and Partnership Manager
jan,2014,Junior Auditor
jan,2014,Sales Representative
jan,2014,Program Director
jan,2014,Research Assistant
jan,2014,Functional QA Team Lead in Goris
jan,2014,PHP Developer
jan,2014,Project Management Consultant
jan,2014,Corporate Business Sales and Promotion Director
jan,2014,Contract Officer
jan,2014,Office Manager
jan,2014,English Language Teaching (ELT) Project Manager
jan,2014,Medical Representative
jan,2014,Auditor
jan,2014,Administrative Assistant
jan,2014,CFO Assistant
jan,2014,National Legal Expert of BSIBM Project
jan,2014,NIMA-A Training Courses on Marketing for Specialists and Managers
jan,2014,Graphic Designer
jan,2014,Sales Manager
jan,2014,Administrative Assistant
jan,2014,Contractor/ Intern
jan,2014,"QA Engineer, Deep Submicron Department"
jan,2014,Project Manager
jan,2014,"Senior Software Engineer, Deep Submicron Department"
jan,2014,"Quality Assurance Engineer, Validation Department"
jan,2014,Transformational Development Facilitator
jan,2014,Key Account Manager
jan,2014,Sales Director
jan,2014,Brand Manager
jan,2014,Broker
jan,2014,Administrative Assistant
jan,2014,.NET Developer
jan,2014,Executive Assistant to CEO
jan,2014,Senior Loan Officer
jan,2014,Financial Monitoring Service Specialist
jan,2014,Application Administrator
jan,2014,Accounting Specialist
jan,2014,Member Relations Specialist
jan,2014,Young Bankers Programme
jan,2014,Training on Introduction of Making Markets Work for Poor (M4P)
jan,2014,Information and Communications Officer
jan,2014,Senior Auditor
jan,2014,Mathematics Teacher
jan,2014,English Language Teacher
jan,2014,Senior Software Developer
jan,2014,Head of Programming Division
jan,2014,Sales Manager
jan,2014,Sales Manager
jan,2014,"National Consultant/ Agronomist (Seed Specialist) for ""Support to"
jan,2014,Senior Methodologist
jan,2014,Chief Accountant
jan,2014,Brand Manager
jan,2014,Designer
jan,2014,Head of Product Development Division
jan,2014,Equipment Manager/ Controller
jan,2014,Construction Business Development and Marketing Officer
jan,2014,Senior QA Engineer
jan,2014,Sales Manager
jan,2014,QA Analyst
jan,2014,"Legal Chief Specialist, Banking Operations Legal Support Unit"
jan,2014,Head of Road Construction Department
jan,2014,Sales Manager
jan,2014,Marketing and PR Specialist
jan,2014,Customer Relations Manager
jan,2014,Agronomist
jan,2014,Product Manager
jan,2014,Assistant in Accounting Department
jan,2014,Java Software Developer
jan,2014,Employment and Economic Sustainability Project Coordinator
jan,2014,".NET Developer, IT Department"
jan,2014,Deputy Head of Dealing Center
jan,2014,Sales Manager
jan,2014,Fishfarm Manager
jan,2014,Loan Officer
jan,2014,iOS Developer
jan,2014,PHP Developer
jan,2014,Kapan Branch Manager
jan,2014,Hrazdan Branch Manager
jan,2014,Martuni Branch Manager
jan,2014,Software Developer
jan,2014,Content Manager
jan,2014,Technical Support Engineer of  Control and Monitoring Systems
jan,2014,Consultant
jan,2014,Aparan Branch Manager
jan,2014,Sales Manager
jan,2014,Medical Representative
jan,2014,Executive/ Administrative Assistant
jan,2014,Technology Research Specialist
jan,2014,Java Developer
jan,2014,Sales Manager
jan,2014,Commerce Director
jan,2014,Commercial Manager
jan,2014,Professional Fellows Program (PFP)
jan,2014,Internal Communications and PR Assistant
jan,2014,Noyemberyan Branch Manager
feb,2014,SME Credit Officer in Yerevan
feb,2014,SME Credit Officer in Branch Kumayri
feb,2014,SME Credit Officer in Branch Vanadzor
feb,2014,Collections Manager
feb,2014,Kapan Branch Manager
feb,2014,Hrazdan Branch Manager
feb,2014,Programmer
feb,2014,Dairy Equipment Sales Assistant
feb,2014,Local Expert on Energy Efficient Lighting Market and Technologies
feb,2014,Operational Director
feb,2014,Import Manager
feb,2014,Noyemberyan Branch Manager
feb,2014,General Manager
feb,2014,Lawyer
feb,2014,Aparan Branch Manager
feb,2014,Accountant
feb,2014,Analyst
feb,2014,Martuni Branch Manager
feb,2014,"Short Term Expert, EU Targeted Initiative for Armenia"
feb,2014,LEED Reporting Engineer
feb,2014,Supply Manager/ Driver
feb,2014,Electrical Engineer
feb,2014,Front-End Developer
feb,2014,MSE and Corporate Banking Department Credit Specialist
feb,2014,Monitoring and Collateral Assessment Unit Specialist in Retail
feb,2014,Interviewer/ Numerator
feb,2014,Project Manager
feb,2014,Expert at	the Standing Committee on State and Legal Affairs and
feb,2014,Senior Software Engineer
feb,2014,Logistics and Import Manager
feb,2014,System Administrator/ Leading Specialist
feb,2014,Accountant
feb,2014,Accountant
feb,2014,Head of Information Security Division
feb,2014,Manager of Accounting Department
feb,2014,Retail Salesperson/ Sales Consultant
feb,2014,Software Architect/ Team Lead
feb,2014,IT Specialist
feb,2014,Financial Analyst
feb,2014,IT Security Specialist
feb,2014,iPhone Application Developer
feb,2014,Teller/ Operator
feb,2014,Sales Manager
feb,2014,Software Engineer
feb,2014,Database and Report Manager
feb,2014,Senior Web Developer
feb,2014,Call Center Agent
feb,2014,Call Center Consultant
feb,2014,"Product Manager, Liabilities and Commission Services Division"
feb,2014,IT Security Officer
feb,2014,Market Facilitator/ Economic Development Specialist
feb,2014,Accountant Assistant
feb,2014,IT Service Desk Administrator
feb,2014,Senior IT Specialist
feb,2014,Head of Road Construction Projects Implementation Department
feb,2014,Leading Specialist/ Accountant of Financial and Administrative
feb,2014,"Product Manager, Personal Lending Services Division"
feb,2014,Receptionist/ Administrative Assistant
feb,2014,Administrative Project Assistant
feb,2014,"Programmer, IT Development Department"
feb,2014,Logistics Manager
feb,2014,Assistant in Accounting Department
feb,2014,2014 - 2015 Global Undergraduate Exchange Program in Eurasia &
feb,2014,Marketing and Selling Consulting Services Training
feb,2014,IT Specialist
feb,2014,Food and Beverage Supervisor
feb,2014,HR Manager
feb,2014,Project Manager
feb,2014,Video Surveillance System Team Leader
feb,2014,Buyer
feb,2014,Merchandising Manager
feb,2014,Senior Accountant
feb,2014,Auditor
feb,2014,Local Expert on Lighting System Audit
feb,2014,Commercial Director of Mobile Communication Unit
feb,2014,Project Management Specialist
feb,2014,Retail Marketing Manager
feb,2014,Internet Technical Support Consultant
feb,2014,Market Development Manager/ Preseller
feb,2014,Purchasing Specialist
feb,2014,Designer
feb,2014,Strategic Communications Planner
feb,2014,QA Engineer
feb,2014,Lawyer/ Advocate
feb,2014,Risk Department Specialist
feb,2014,QA Manager
feb,2014,
feb,2014,International Project Coordinator
feb,2014,International Project Coordinator
feb,2014,Mobile Game Artist
feb,2014,Head of Financial Division
feb,2014,Roaming and International Offers Coordinator
feb,2014,Internal Auditor
feb,2014,Interpreter
feb,2014,Translator
feb,2014,Sales Manager
feb,2014,Economist/ Analyst
feb,2014,Accountant
feb,2014,Tavush Marz Development Manager
feb,2014,Finance and Resources Officer
feb,2014,Customer Service Agent
feb,2014,Loan Analyst
feb,2014,Help Desk Operator
feb,2014,Quantity Surveyor
feb,2014,English Language Instructor
feb,2014,Salesperson/ Cashier
feb,2014,Sales and Marketing Manager
feb,2014,Senior Java Developer
feb,2014,Finance and Resources Officer
feb,2014,"Coordinator, Local Governance Programme South Caucasus, North"
feb,2014,Retail Coordinator
feb,2014,"""Malatia"" Branch Manager"
feb,2014,Outsourcing Accountant
feb,2014,Software Developer
feb,2014,Monitoring Engineer
feb,2014,Chief Accountant
feb,2014,Stores Director
feb,2014,Teacher in Kindergarten
feb,2014,Loan Specialist
feb,2014,Journalist
feb,2014,Web and Graphic Designer
feb,2014,Risk Management Specialist
feb,2014,Production Support Engineer
feb,2014,"Executive Assistant, Legal Service"
feb,2014,Branch Intern
feb,2014,Java Developer
feb,2014,"Underwriter, Personal Lines"
feb,2014,Marketing Specialist
feb,2014,English Language Instructor
feb,2014,HR Recruiter
feb,2014,Transmission Engineer
feb,2014,Junior C++ Engineer
feb,2014,Intermediate C++ Developer
feb,2014,.NET Engineer
feb,2014,Sales Specialist
feb,2014,Marketing Specialist
feb,2014,Web Developer
feb,2014,Accounting Assistant
feb,2014,Market Development Manager/ Preseller
feb,2014,Junior Software Testing Specialist
feb,2014,Project Office Manager
feb,2014,Lawyer
feb,2014,National Programme Officer (NPO)/ Programme Assistant
feb,2014,UN Coordination Specialist/ Senior Advisor to the UN Resident
feb,2014,"Programme Analyst/ Programme Manager, Socio-Economic Portfolio"
feb,2014,"Business Intelligence Analyst, Marketing Department"
feb,2014,Urban DRR Study Expert
feb,2014,UN Coordination Analyst
feb,2014,Local Expert on Cadastre of Real Estate Sector
feb,2014,"Contract Manager, Administrative and Logistics Service"
feb,2014,Front End Developer/ Designer
feb,2014,Pricing and Merchandise Specialist
feb,2014,Leading Credit Analyst
feb,2014,Local Expert on Local Government and Self-governance Sector
feb,2014,Local Expert on Urban Development
feb,2014,Sales Manager
feb,2014,Financial Markets Operations Division Specialist
feb,2014,Responsible for Client Service
feb,2014,Architectural Designer
feb,2014,News Writer for Russian Edition
feb,2014,Executive Assistant to CEO
feb,2014,Business Community Facilitator
feb,2014,Sponsorship Coordinator
feb,2014,Local Expert in Education Sector
feb,2014,Local Expert on Land Issues
feb,2014,Secretary General
feb,2014,Radio Engineer
feb,2014,Finance Director
feb,2014,Deputy Chief Accountant
feb,2014,Salesperson/ Cashier
feb,2014,Alaverdi Area Development Program Sponsorship Assistant/
feb,2014,Local Governance Expert
feb,2014,Financial Adviser in Branch Ashtarak
feb,2014,Marketing and Sales Specialist
feb,2014,HR Administration Team Leader
mar,2014,Accountant
mar,2014,Senior Accountant
mar,2014,Implementation Unit Monitoring and Evaluation Officer
mar,2014,Marketing and Sales Specialist
mar,2014,Mine Controller
mar,2014,Deputy Director
mar,2014,Senior QA Engineer
mar,2014,English Language Instructor
mar,2014,Office Administrator/ Telephone Operator
mar,2014,Head of Public Relations Service
mar,2014,Import and Logistics Manager
mar,2014,Evaluation National Consultant
mar,2014,Junior QA Engineer
mar,2014,Evaluation Assistant/ Interpreter
mar,2014,"Currency Expert, Currency Expertise Division, Regulation of"
mar,2014,"Capacity Building, Monitoring and External Relations Officer"
mar,2014,Transport Engineer/ Economist
mar,2014,Legal Affairs Consultant/ Senior Lawyer
mar,2014,Senior Site Engineer
mar,2014,Site Engineer
mar,2014,Accountant and Payments Specialist
mar,2014,Claim and Dispute Management Specialist
mar,2014,Information Security Management Division Specialist
mar,2014,Program Assistant
mar,2014,Contract Management Specialist
mar,2014,Procurement and Contracts Management Officer
mar,2014,Procurement Specialist
mar,2014,Financial-Economic Officer/ Chief Accountant
mar,2014,Engineer
mar,2014,Windows Mobile Developer
mar,2014,Internal Business Plan Preparator
mar,2014,Web Developer
mar,2014,Stepanavan ADP Sponsorship Assistant/ Translator
mar,2014,"Currency Expert (Technical), Currency Expertise Division,"
mar,2014,Quality Assurance Engineer
mar,2014,Alaverdi ADP Transformational Development Facilitator
mar,2014,"Currency Expert (Materiological), Currency Expertise Division,"
mar,2014,Head of Regulatory Affairs and Local Person in Pharmacovigilance
mar,2014,Sales Assistant
mar,2014,"Sales Senior Specialist, Commercial Directorate"
mar,2014,Customer Support Engineer
mar,2014,Junior Software Tester
mar,2014,Dissemination and IHL Awareness Officer
mar,2014,Operational Support Consultant
mar,2014,Linux Kernel Engineer
mar,2014,User Experience Designer
mar,2014,Linux C++ Developer
mar,2014,Senior Software Engineer
mar,2014,Specialist of Brokerage Services
mar,2014,Junior Marketing Specialist
mar,2014,Pharmacologist
mar,2014,Administrative Manager
mar,2014,Internet Technical Support Consultant
mar,2014,Senior Java Software Developer
mar,2014,Software Developer
mar,2014,Product Owner
mar,2014,Marketing Manager
mar,2014,Front-desk Receptionist/ Secretary
mar,2014,Customs Clearance Assistant
mar,2014,Business Planning Specialist
mar,2014,Designer
mar,2014,Product Marketing Specialist
mar,2014,Lawyer
mar,2014,Human Resources (HR) Training
mar,2014,"Senior Software Engineer, Deep Submicron Department"
mar,2014,Facilities Technician
mar,2014,General Manager
mar,2014,Contractor/ Intern
mar,2014,"Senior Software Engineer, Design to Silicon Division"
mar,2014,Lawyer
mar,2014,HR Manager
mar,2014,Systems and Servers Administrator
mar,2014,Contractor/ Intern
mar,2014,Embedded Software Engineer
mar,2014,Java Developer
mar,2014,Expert on Public Outreach
mar,2014,Business Analytics Specialist
mar,2014,Commercial Director
mar,2014,Medical Representative
mar,2014,Billing Platforms Senior Specialist
mar,2014,Financial Adviser in Branch Nor Hachn
mar,2014,Procurement Department Specialist
mar,2014,Senior Accountant
mar,2014,Recruitment Specialist
mar,2014,Process Engineer
mar,2014,Corporate IT Systems Administrator
mar,2014,Laboratory Technician
mar,2014,Teller in Branch Vanadzor
mar,2014,Senior QA Engineer
mar,2014,Editor
mar,2014,Logistics/ Freight Forwarding Manager
mar,2014,Designer
mar,2014,Programme Assistant
mar,2014,Information Security Leading Specialist
mar,2014,Personal Assistant to Director
mar,2014,Corporate Sales Specialist in Gyumri
mar,2014,Corporate Sales Specialist in Vanadzor
mar,2014,"Methodologist, Consumer Protection and Financial Education Centre"
mar,2014,"Financial Education Specialist, Consumer Protection and Financial"
mar,2014,C/ C++ Software Engineer
mar,2014,Project Accountant
mar,2014,Head of SME Division
